Название,Описание проекта,Результат/Цель 
Определение слов-событий в тексте с использованием нейронных сетей,"Существует задача выделения событий из статей новостных источников. Если решать данную задачу применяя простой поиск по словарю, возникает множество ложно-положительных срабатываний, например:
1. «Сегодня в Екатеринбурге произошло ДТП на ул. Малышева»: нужно определить, что событием является аббревиатура «ДТП».
2. «В Екатеринбурге количество ДТП снизилось на 2%» - в данном сообщении «ДТП» не является событием, но поиск по словарю даст положительный результат.
Чтобы повысить качество результата необходимо учитывать контекст, в котором находится каждое конкретное слово.
","Разработать систему, способную учитывать контекст при поиске «слов-событий» для исключения ложно-положительных срабатываний 1. Демо-стенд (веб-сервис), который обладает следующими возможностями:
  a. Через веб-форму вводится текст, в ответ система визуализирует результат работы алгоритма;
  б. Визуализация работы системы на выборке из 1000 предварительно загруженных статей из новостного источника;
2. Техническое описание продукта: принципиальная схема продукта, оценка производительности, оценка качества, оценка перспектив использования.
"
Семантическое сравнение новостей с использованием нейронных сетей,"Имеющая в настоящее время система семантического сравнения текстов в случае новостей не дает четкого критерия для отделения статей на одну тему от статей на другие темы.
Предлагается исследовать способы улучшения качества результатов работы нейронной сети.
","Повышение качества семантического сравнения текстов новостных статей с использованием нейронных сетей Демо-стенд (веб-сервис), который показывает результаты обработки 400 тыс. предварительно заготовленных статей."
Система сбора и систематизации информации о чрезвычайных и кризисных ситуациях,"Существуют международные системы оповещения и координации при чрезвычайных и кризисных ситуациях (ЧС и КС).
Для мониторинга произошедших в мире ЧС и КС необходимо организовать сбор данных, которые такие организации выкладывают в формате RSS.
Разработанное приложение должно уметь собирать данные в определенной периодичностью, укладывать их в единую базу данных, уметь актуализировать (обновлять) уже имеющиеся данные.
Также необходим конфигуратор, позволяющий подключать к сбору данных новые потоки путем настройки соответствия между получаемым и хранимым наборами данных.","Создание web-приложения, в автоматическом режиме собирающего данные из RSS-потоков международных систем оповещения и координации при чрезвычайных и кризисных ситуациях. Веб-приложение - парсер RSS. Интерфейс на bootstrap.
"
Профайлер аудитории киногрупп ВК,"1) Необходимо выгрузить стену сообщества (сообщения содержащие упоминание того или иного фильма) – минимум 100 фильмов
 2) Выгрузить ID пользователей пролайкавших данное сообщение
 3) Выгрузить комментарии для сообщения 
 4) Выполнить сентимент-анализ (позитив/негатив) комментариев
 5) Выгрузить ID тех кто позитивно или негативно прокомментировал сообщение
 6) Выгрузить по ID пользователей:
 - Демографические характеристики (пол возраст регион)
 - Подписки
 - Музыку (методами web scraping)
 - Фотоконтент пользователя
 7) Распознать готовой нейросетью тип локации и объекты на фотоконенте
 8) Сформировать набор данных (единая таблица) содержащую целевую переменую (фильм) и данные профиля пользователя
 9) Создать модель машинного обучения (классификации) по данным пользователя рекомендуемого фильма
 10) Выполнить оценку вклада те или иных данных пользователя в предпочтения к конкретным фильмам","Проект предназначен для определения того, как связаны кинопредпочтения целевой аудитории киногрупп ВК (напр. “Кинопоиск”) с переменными, извлекаемыми из соц. сети ВК для этой целевой аудитории 1) Аналитичческий отчет о вкладе переменных
 2) Работающая модель машинного обучения в форме веб-сервиса"
Автоматический учет тестовых устройств (мобильных телефонов),"В офисе работает больше 100 человек, также в офисе более 10 тестовых устройств, для проверки тестового кейса на устройстве, зачастую нужно понять кто взял тестовое устройство. 
Необходимо реализовать мобильное приложение с авторизацией, где пользователь сможет указать, что тестовое устройство у него.
","Целью проекта является определение, у кого в офисе находится тестовое устройства. Мобильное приложение, в котором будет происходить ручная идентификация пользователя, взявшего устройство.

"
Нахождение логотипов предприятий по наименованию,"Пользователи приложений любят визуализацию, им проще ориентироваться по картинкам, а не по наименованиям. 
Необходимо реализовать алгоритм по поиску иконок-брендов по наименованиям
","Целью проекта является нахождение логотипов организаций по наименованию Развернуть проект локально, на вход будет подано наименование, например, “Ашан”, на выходе ожидается картинка в формате png, либо в шестнадцатеричной системе исчисления "
"Разработка билингвальной обучающей программы по дисциплине
«Химия» с элементами анимации и видео-контента, включая обработку
результатов итогового тестирования
","На кафедре общей химии существуют сложности по обучению иностранных (англоговорящих) студентов дисциплине «Химии». Сложности вызваны рядом причин: недостаточный базовый уровень знаний химии иностранными студентами, отсутствие методической и учебной литературы по необходимым разделам химии на английском языке специализированным под обучение в медицинских ВУЗах. Кроме того, недостаточный уровень владения английским языком студентами (низкая скорость письма) не позволяет им эффективно усваивать информацию на лекциях.","Эффективное обучение иностранных студентов международного
отделения УГМУ по одной из основополагающих естественно-научных
дисциплин - химии
 Работающий программный продукт под OC Windows."
АНАЛИЗ НАУЧНОЙ СРЕДЫ,"В Томске:
6 - Государственных вузов;
4 - Филиалов государственных вузов;
1 - Коммерческих негосударственных вузов;
7 - Научно-исследовательских институтов;
5 - Филиалы федеральных вузов;
1 - Институт.

Таким образом, в Томской области занимаются исследованием и разработкой множество научных коллективов. Данные о структуре компетенций разрозненные, а процессы связанные с их актуализацией требуют большого человеческого ресурса и как правило растянуты во времени. В итоге отсутствует единая карта научно-исследовательских коллективов Томской области. В Администрации Томской области нет возможности получить оперативную информацию о наличии в Томске коллектива с нужными компетенциями под решение новой технологической задачи.","Подготовка аналитического исследования с использованием методов машинного обучения и анализа данных. Разработать программный модуль. Получить инструмент оценки научно-исследовательского компетентного потенциала томских научных организаций. Для оперативного определения направлений научных исследований, выявления передовых коллективов.
В результате хотелось бы получить структурированную базу данных с данными о публикациях томских научных коллективов, с возможностью наложения всевозможных фильтров, для возможности получения информации под разные задачи.
Кроме того, есть необходимость в сборе целевой аудитории для участия в коммуникационных мероприятиях с томским бизнес сообществом, а также с крупными промышленными партнерами Томской области.
Нужно дополнить данными хоз. договоров, и данными из базы НИОКРов."
Геймификация образовательного процесса ,"Проблема, решаемая реализацией данного проекта, заключается в отсутствии платформы и игровых методик, которые могли бы помочь освоить теоретический материал образовательного курса «Математика случайного». 
 
В рамках данного проекта для решения проблемы, предлагается разработать мобильное приложение, состоящее из 5 мини-игр, каждая из которых имеет свою игровую механику, основанную на примере математических задач.  
 
Для реализации проекта, предполагается использование кроссплатформенного движка Unity с использование языка программирования C#. Для визуальной части проекта необходимо использование графического редактора Adobe Illustrator. ",Разработать игровые механики для геймификации математических задач в мобильном приложении с использованием кроссплатформенного движка Unity Готовый игровой проект
Домашняя сигнализация,"Создать «домашнюю сигнализацию». Установить по квартире ИК-датчики, у которых 2 режима работы: 1) Когда пересекли луч - просто отправляем на сервер информацию о времени пересечения. 2) ""Ночной"". Так же отправляем информацию на сервер, но вдобавок включаем пищалку и сирену в соседней комнате. Менять режимы можно вручную через приложение или физически на датчике. В приложении же доступная информации о каждом пересечении датчика: его номере и времени пересечения.","Создать «домашнюю сигнализацию» с ИК-датчиком, мигалкой и сиреной «Домашняя сигнализация»."
Доработка сайта ДПО ИРИТ-РТФ,, 
Контекстная реклама,, 
Мобильное приложение для музеев,, 
Приложение для автодорог,, 
Проектирование сайта ИнФО УрФУ,, 
Сервис для абитуриентов ИРИТ-РТФ,, 
Сервис презентации проектов студентов ИРИТ-РТФ и ИнФО,, 
Система проверки заданий по компьютерным сетям,, 
Система проверки заданий по языку Python,Создание автоматизированного модуля проверки практических заний по курсу Python., 
Создание браузерного бота для ставок на киберспорт,, 
Cоздание видеороликов для Youtube,, 
Агрегатор новостей,На данный момент сайт ИРИТ-РТФ и группы ВК нуждается в актуализации новостных объявлений и оперативном размещении новой информации на страницах сайта. Поэтому для оптимизации размещения новостей требуется реализовать автоматический сбор новостей из релевантных информационных ресурсов и размещении собранной информации на сайте.,Автоматизировать сбор и размещение новостей для сайта ИРИТ-РТФ и групп ВКонтакте 
Навигатор для помещений,, 
Электронный деканат,, 
Игровая платформа «Математика случайного»,"Низкий уровень статистической культуры и критического мышления учеников и выпускников общеобразовательных школ приводит к недобору баллов на ЕГЭ, проблемах при освоении соответствующих разделов университетской программы, а также увеличивает риск стать жертвой «наукообразного» мошенничества. При этом традиционные формы обучения теории вероятностей и мат.статистике, как правило, отличаются низким уровнем наглядности, мотивированности и вовлеченности обучающихся, трудны для самостоятельного (онлайн, заочного) освоения. 
В данном проекте предлагается создать комплекс обучающих игр, основанных на наборе разноуровневых математических задач, покрывающих необходимые разделы теории вероятностей, дискретной математики и математической статистики. Игрофикация процесса сделает образовательный процесс интересным и доступным каждому владельцу современного гаджета (от старшекласников и выше) и позволит по индивидуальной траектории освоить основы математического аппарата для работы со случайными величинами и анализа данных.
Реализовать проект предполагается в виде мобильного приложения в связке с онлайн-сервисом. При разработке рекомендуется использовать инструменты с открытым исходным кодом и/или со свободными лицензиями. 
",Создание комплекса обучающих игр как формы реализации курса по основам математических подходов к анализу данных.   Мобильное/настольное приложение или онлайн-сервис.
Цифровизационный подход к измерению биологического возраста человека,"Биологический возраст является мерой степени изношенности организма и мерой предстоящей продолжительности жизни. Продолжительность жизни испытуемого человека соизмерима с таковой у исследователя. Поэтому существующие методы исследования основываются на выявлении возраст-зависимых показателей и создании на этой основе математических моделей прогностического характера, проверить точность которых не представляется возможным.","Оценить биологический возраст человека на основе математической модели, включающей результаты измерения объективных физиологических, биохимических и гематологических параметров *Необходимо ввести качественные и количественные метрики успешности вашего проекта.
Методика измерения биологического возраста человека.
"
"Мультиформатная конвертация данных компьютерной
томографии (КТ) костей лицевого скелета в виртуальную STL-модель,
математическое моделирование конструкции титанового имплантата для
замещения дефекта нижней стенки орбиты, на основе Big-data КТ
лицевого скелета, создание нейронной сети с применением компьютерных
технологий и искусственного интеллекта
","В настоящее время существующие на рынке решения для создания и обработки виртуальных 3D-моделей представлены относительно небольшим количеством программных продуктов, большинство из которых либо имеют довольно ограниченный набор инструментов по проектированию 3D-моделей без возможности их конвертации из данных компьютерных томограмм пациентов либо являются весьма дорогостоящими и требуют прохождения дополнительного обучения по работе в данных программах. Более того, на данный момент отсутствует приложение, которое позволило бы производить конвертацию данных компьютерной томографии (КТ) пациентов в виртуальную STL-модель не только из стандартного для большинства КТ-аппаратов «.DICOM» формата, но и из массива срезов, получаемых при проведении конусно-лучевой компьютерной томографии (КЛКТ) в формате «.GWG», получившей широкое распространение в стоматологической практике.
Описанные выше недостатки существующих приложений легли в основу Нашей идеи по созданию собственного программного пакета, обладающего оптимальным функционалом для проектированию и редактированию виртуальных STL-моделей, а также возможностью мультиформатной конвертации данных КТ не только из .DICOM формата, но и из .GWG.
Особый интерес в области проектирования индивидуализированных протезов костных дефектов средней зоны лица представляют технологии Big-data с применением нейронных сетей и искусственного интеллекта. При включении указанных технологий в функционал разрабатываемого программного пакета появляется уникальная возможность создания виртуального банка данных срезов компьютерных томограмм костей лицевого скелета, основываясь на которых мы можем частично автоматизировать процесс проектировки замещающего дефект имплантата, а также многократно повысить точность исполнения конечного продукта (индивидуализированного имплантата).
","Создание программного пакета, обладающего оптимальным функционалом для проектирования и редактирования виртуальных STL-моделей, а также возможностью мультиформатной конвертации данных КТ не только из .DICOM формата, но и из .GWG. Программный пакет для мультиформатной конвертации данных компьютерной томографии (КТ) костей лицевого скелета в виртуальную STL-модель с возможностью математического моделирования конструкции титанового имплантата для замещения дефекта нижней стенки орбиты с применением технологий Big-data, нейронных сетей и искусственного интеллекта."
"Клинико-функциональная характеристика пациентов с гипертонической болезнью (ГБ), перенесших тромбоэмболию лёгочной артерии (ТЭЛА)",Необходим статистический регрессионный анализ  и выявление корреляционной зависимости при сравнении показателей эхокардиографии пациентов разных групп - перенесших ТЭЛА и без ТЭЛА исходно. ,"Определение функциональной особенностей пациентов с ГБ, перенесших ТЭЛА, в сравнении с группой пациентов с ГБ и без ТЭЛА Наличие или отсутствие корреляции показателей эхокардиографии разных групп пациентов

"
"Геймифицированный 3D тренажер
«Прививочный кабинет детской поликлиники»
","Задачи, которые предполагается решить с участием специалистов по интеллектуально-информационным технологиям:
- создание программной оболочки продукта с возможностью реализации различных игровых сценариев;
- разработка 3D модели прививочного кабинета детской поликлиники по представленным фотографиям с возможностью реализации набора сценариев оснащения для отработки алгоритма проверки правильности организации работы прививочного кабинета;
- по представленному набору сценариев реализовать отработку алгоритмов оказания неотложной помощи при поствакцинальных реакциях и осложнениях;
- по представленному набору сценариев реализовать отработку алгоритмов применения Национального календаря прививок (с возможностью заведения различных вариантов календаря прививок).
","Создание интеллектуального тренажера-симулятора для отработки и контроля сформированности профессиональных навыков у специалистов педиатрического и медико-профилактического профиля в области иммунопрофилактики инфекционных заболеваний.
Целевая аудитория:
- студенты педиатрического, медико-профилактического факультетов;
- ординаторы, обучающиеся по специальностям педиатрического и медико-профилактического профиля;
- врачи в рамках циклов повышения квалификации и профессиональной переподготовки по специальностям педиатрического и медико-профилактического профиля.
 Программный продукт с двумя режимами использования:
- обучение;
- контроль сформированности профессиональных компетенций.
"
"Модель прогнозирования спроса на лекарственные препараты, произведенные в УрФО",Проект направлен на научное обоснование промышленных ассортиментных портфелей фармацевтических заводов УрФО на основе многофакторного анализа (промышленные/рыночные/маркетинговые/макроэкономические факторы).,"Моделирование спроса на лекарственные препараты, произведенные в УрФО в коммерческом и госпитальном сегментах фармацевтического рынка для формирования таргетированных ассортиментных портфелей. Модель спроса на продукты в целевых сегментах фармацевтического рынка"
Динамическая модель когнитивного старения,"Создание математической динамической онтогенетически ориентированной (с учетом жизненного периода, возраста испытуемых) модели когнитивного старения, с возможностью управления неблагоприятным сценарием старения. Создание динамической модели когнитивного старения предоставит возможность прогнозировать индивидуальные траектории старения и менять их вектор в случае патологического сценария.  Создание модели с помощью нейросетей","Исследовать биологические и психосоциальные компенсаторные  механизмы старения головного мозга, разработать комплексные медико-психосоциальные программы, учитывающие нейрохимические, нейропсихологические, психосоциальные сценарии старения на основе динамической модели когнитивного старения Создание модели с возможностью добавления вновь поступающих данных"
Автоматизированное рабочее место (АРМ) подготовки медико-статистических данных,"АРМ подготовки медико-статистических данных содержит в себе в себе базу данных и исполняемый модуль, предназначенный для поддержки основных видов деятельности в учетных подразделениях медицинского учреждения.","Создание программного продукта (АРМ подготовки медико-статистических данных), работающего под управлением современной операционной системы Создание программного продукта, работающего под управлением современной операционной системы."
«Создание ЭОР для слушателей дисциплины по выбору «Экологическая химия», Моделирование анимированных лабораторных работ.,"Визуализировать основные темы практических работ, используемых в дисциплине «Экологическая химия» для практического применения на большой поток студентов 1 курса педиатрического факультета Работающий программый продукт (демоверсия): анимированные лабораторные работы: 
1)титрование кальция, магния; хлора; перикиси водорода, 
2)физико-химические свойства растворов (лизис, плазмолиз)
3) качественные реакции на органические вещества
4)определение концентрации и объема раствора при проведении инъекционной терапии.
5) ОВР
"
"Виртуальная (компьютерная) лабораторная работа по физике ""Определение электрической оси сердца"".","Создаваемое в рамках данного проекта программное обеспечение должно решать следующие задачи:
1. По заданным примерам электрокардиограмм (ЭКГ) в нескольких стандартных отведениях обеспечить возможность измерения амплитуд зубцов Q, R, S в каждом отведении.
2. По результатам измерений определяется среднее положение электрического вектора сердца (электрическая ось сердца).
3. Производится графическая визуализация найденной электрической оси сердца.
","Создание компьютерной программы. Должно быть разработано ПО определения положения электрической оси сердца по записям ЭКГ в нескольких стандартных отведениях, работающее под управлением ОС Windows 7 и выше. 
Соответствие полученного результата истинным значениям определяемого параметра проверяется на тестовых примерах.
"
ПО для обмена данными с портативным устройством мониторинга уровня и накопленной дозы ультрафиолетового излучения (УФИ)  ,"Имеется устройство, измеряющее уровень УФИ, и записывающее (в среднем 1 раз в минуту) его значения на встроенную память. Требуется ПО (как для мобильных устройств под управлением Android и iOS, так и стационарных компьютеров/ноутбуков, оснащенных адаптером Bluetooth), позволяющее связываться с устройством мониторинга УФИ по стандарту  Bluetooth, считывать данные его внутренней памяти, рассчитывать накопленную дозу УФИ, определять риски поражения кожи, давать рекомендации по защите от УФИ.","Создание ПО для мобильного устройства и стационарных компьютеров, осуществляющего обмен данными с портативным устройством оценки уровня УФИ. Должно быть разработано ПО как для мобильных устройств под управлением ОС Android и iOS, так и для стационарных компьютеров (имеющих адаптер Bluetooth) под управлением ОС Windows 7 и выше. "
"ПО для оценки значимости стеноза коронарных артерий (КА) по изображениям, сделанным в ходе коронарографического обследования","Создаваемое в рамках данного проекта программное обеспечение должно решать следующие задачи:
1. Использовать в качестве исходных данных файлы видео либо файлы формата DICOM, содержащие видеозаписи коронарограмм.
2. Производить предварительную обработку изображений – фильтрация помех, контрастирование и т.п.
3. В автоматическом режиме (с минимумом вмешательства пользователя) определять границы исследуемого участка КА и строить распределение диаметра артерии на участке со стенозом.
4. По скорости продвижения контрастного вещества оценивать объемную скорость кровотока.
5. Моделировать насколько может увеличиться скорость кровотока через данную КА после процедуры восстановления ее просвета в стенозированном месте.
","Создание компьютерной программы, позволяющей по видеозаписи, сделанной при выполнении рентгеноконтрастной ангиографии коронарных артерий (КА) со стенозом (суженным участком), определить параметры кровотока через артерию, оценить степень стеноза и спрогнозировать результат процедуры восстановления просвета артерии в месте стеноза. Должно быть разработано ПО для оценки как параметров, так и значимости стеноза коронарных артерий (КА) по изображениям, сделанным в ходе коронарографического обследования, работающее под управлением ОС Windows 7 и выше. 
Эффективность разработанного ПО тестируется на клинических видеозаписях, выполненных в ходе коронарографических исследований. Полученные результаты (распределение диаметра КА по длине, объемный кровоток в стенозированном месте и его спрогнозированное значение после процедуры восстановления просвета КА) сравниваются с данными, полученными другими стандартными клиническими методами (например, методом FFR - Fractional flow reserve).

"
"Виртуальная (компьютерная) лабораторная работа по физике ""Измерение вязкости жидкости""","Создаваемое в рамках данного проекта программное обеспечение должно решать следующие задачи:
1. Моделировать движение по капилляру жидкости с известным коэффициентом вязкости (согласно уравнению Пуазейля).
2. Содержать анимированную графику, максимально (насколько возможно) отражающую вид и работу реальных капиллярных вискозиметров (прежде всего, вискозиметра Гесса).
3. Иметь простой пользовательский интерфейс, удобное управление виртуальной установкой измерения вязкости, должна быть предусмотрена возможность выбора из нескольких вариантов жидкости, у которой надо измерить коэффициент вязкости.
4. Необходимо предусмотреть возможность многократного (от 5 и более раз) повторения виртуального измерения коэффициента вязкости с сохранением результатов в табличной форме и расчетом погрешности измерений.
","Создание компьютерной программы, моделирующей работу капиллярного вискозиметра, применяемого в медико-биологических исследованиях, связанных с измерением вязкости различных жидкостей. Должно быть разработано ПО, имитирующее работу капиллярного вискозиметра, работающее под управлением ОС Windows 7 и выше. "
Обработка и анализ мультиспектральных снимков Земли для определения местра строительства заповедника,"Сбор снимков Земли со спутников серий Landsat, Sentinel Ямала и Таймыра, обработка снимков для снижения шумов, искажений и корректности данных при анализе. Расчёт вегетационных, водных, геологических и других индексов. Анализ местности обитания Дикого северного оленя. Работа с пространственными данными. В ходе работы планируется написание статей, участники будут являться соавторами.",Определить местность на Таймыре и Ямале для нового заповедника с целью защитить Дикого Северного оленя от браконьеров и вымирания. Программа для групповой обработки мультиспектральных снимков и расчета индексов на заданной территории.
