,Название,Описание проекта,Результат/Цель ,full
79,Онлайн – платформа (веб-система) LigroGame,"Назначение системы - система предназначена для работы в однопользовательском режиме для создания моделей объектов разного типа с помощью геометрических трехмерных форм – примитивов в приложении Unity (3 D LigroGame), встроены команды изменения размера/объема объекта, наложения/изменения значений признака материал, цвет, сохранения объекта для конвертирования в файл для 3 D печати.
 В статусе «учитель» и «ученик» реализованы формы группового режима деятельности.
 Для статуса «учитель» система реализует следующие функции: 
 Демонстрация материала – синхронизация с детской группой; 
 Мониторинг и контроль активности учащихся;
 Организация обмена данными между компьютерами учеников и учителя; 
 Организация групповой работы;
 "," Веб-система с формой регистрации и функционалом для 3 статусов пользователей ( учитель, ученик и родитель) для взаимодействия с контентом в приложении Unity (3 D LigroGame).","Онлайн – платформа (веб-система) LigroGame Назначение системы - система предназначена для работы в однопользовательском режиме для создания моделей объектов разного типа с помощью геометрических трехмерных форм – примитивов в приложении Unity (3 D LigroGame), встроены команды изменения размера/объема объекта, наложения/изменения значений признака материал, цвет, сохранения объекта для конвертирования в файл для 3 D печати.
 В статусе «учитель» и «ученик» реализованы формы группового режима деятельности.
 Для статуса «учитель» система реализует следующие функции: 
 Демонстрация материала – синхронизация с детской группой; 
 Мониторинг и контроль активности учащихся;
 Организация обмена данными между компьютерами учеников и учителя; 
 Организация групповой работы;
   Веб-система с формой регистрации и функционалом для 3 статусов пользователей ( учитель, ученик и родитель) для взаимодействия с контентом в приложении Unity (3 D LigroGame)."
80,Виртуальная 3d онлайн-лаборатория по физике,В рамках каждого проекта Unity 3d необходимо выполнить программирование анимации виртуальных приборов с помощью кода на языке C# согласно физической модели (предоставляется заказчиком) и разработать трехмерные (3d) модели физических приборов по образцу реальных лабораторных установок (информация предоставляется заказчиком).,"Создание комплекса из пяти виртуальных лабораторных работ по физике, каждая из которых позволяет проводить симуляцию измерений на лабораторной установке. Комплект из 5 проектов Unity 3d, оптимизированных для запуска в браузере (сборки WebGL). Каждый проект включает в себя сцену с 3d-моделями физических приборов и устройств, анимация которых осуществляется с помощью программного кода, написанного на языке C#. Все 5 проектов должны быть выполнены в едином стиле и с примерно одинаковым уровнем детализации 3d-графики.","Виртуальная 3d онлайн-лаборатория по физике В рамках каждого проекта Unity 3d необходимо выполнить программирование анимации виртуальных приборов с помощью кода на языке C# согласно физической модели (предоставляется заказчиком) и разработать трехмерные (3d) модели физических приборов по образцу реальных лабораторных установок (информация предоставляется заказчиком). Создание комплекса из пяти виртуальных лабораторных работ по физике, каждая из которых позволяет проводить симуляцию измерений на лабораторной установке. Комплект из 5 проектов Unity 3d, оптимизированных для запуска в браузере (сборки WebGL). Каждый проект включает в себя сцену с 3d-моделями физических приборов и устройств, анимация которых осуществляется с помощью программного кода, написанного на языке C#. Все 5 проектов должны быть выполнены в едином стиле и с примерно одинаковым уровнем детализации 3d-графики."
81,JIQ(коэффициент цифрового интеллекта)-тест,"На основе аналитического анализа литературных источников разработать структурную модель измерения уровня цифрового мышления, составить тест и провести тестирование 100-150 респондентов для валидизации данной методики методом структурного моделирования (SEM). Предполагается тестирование проводить с помощью Google-форм, статистическую обработку данных выполнять с помощью пакета SPSS и модуля AMOS, работающего на базе SPSS. Максимальный уровень оценки проект получает, если результат представлен в виде доклада на студенческой научной конференции и описан в научной публикации.",Создание методики измерения уровня цифрового интеллекта Валидизированная методика измерения уровня цифрового интеллекта,"JIQ(коэффициент цифрового интеллекта)-тест На основе аналитического анализа литературных источников разработать структурную модель измерения уровня цифрового мышления, составить тест и провести тестирование 100-150 респондентов для валидизации данной методики методом структурного моделирования (SEM). Предполагается тестирование проводить с помощью Google-форм, статистическую обработку данных выполнять с помощью пакета SPSS и модуля AMOS, работающего на базе SPSS. Максимальный уровень оценки проект получает, если результат представлен в виде доклада на студенческой научной конференции и описан в научной публикации. Создание методики измерения уровня цифрового интеллекта Валидизированная методика измерения уровня цифрового интеллекта"
82,Чат-бот для обучения школьников дисциплине «Индивидуальный проект» ( созданию простого VR-приложения для Android-устройста на Vuforia и Unity 3D),создание и апробация чат-бота для обучения школьников и оценки его результатов по дисциплине «Индивидуальный проект» в виде простого VR-приложения для Android-устройства с помощью Vuforia и Unity 3D,"создание инструмента обучения школьников и оценки его результатов по дисциплине «Индивидуальный проект» в виде простого VR-приложения для Android-устройства с помощью Vuforia и Unity 3D чат-бот, выполняющий функции:
 обучения: отправляет теоретический материал на e-mail, дает ссылку на Google – диск для скачивания
 проверки знаний: задает тестовые вопросы по теории проектной деятельности и организует он-лайн защиту проекта","Чат-бот для обучения школьников дисциплине «Индивидуальный проект» ( созданию простого VR-приложения для Android-устройста на Vuforia и Unity 3D) создание и апробация чат-бота для обучения школьников и оценки его результатов по дисциплине «Индивидуальный проект» в виде простого VR-приложения для Android-устройства с помощью Vuforia и Unity 3D создание инструмента обучения школьников и оценки его результатов по дисциплине «Индивидуальный проект» в виде простого VR-приложения для Android-устройства с помощью Vuforia и Unity 3D чат-бот, выполняющий функции:
 обучения: отправляет теоретический материал на e-mail, дает ссылку на Google – диск для скачивания
 проверки знаний: задает тестовые вопросы по теории проектной деятельности и организует он-лайн защиту проекта"
83,Цифровой тьютор,"На основе аналитического анализа литературных источников разработать способ решения задачи оптимизации образовательной траектории методом структурного моделирования (SEM). Предполагается статистическую обработку данных выполнять с помощью пакета SPSS и модуля AMOS, работающего на базе SPSS. Максимальный уровень оценки проект получает, если результат представлен в виде доклада на студенческой научной конференции и описан в научной публикации.",Создание методики оптимизации индивидуальной образовательной траектории на основе анализа цифрового следа Способ решения задачи оптимизации образовательной траектории (программный код),"Цифровой тьютор На основе аналитического анализа литературных источников разработать способ решения задачи оптимизации образовательной траектории методом структурного моделирования (SEM). Предполагается статистическую обработку данных выполнять с помощью пакета SPSS и модуля AMOS, работающего на базе SPSS. Максимальный уровень оценки проект получает, если результат представлен в виде доклада на студенческой научной конференции и описан в научной публикации. Создание методики оптимизации индивидуальной образовательной траектории на основе анализа цифрового следа Способ решения задачи оптимизации образовательной траектории (программный код)"
84,ПДД GO,"Веб-приложение будет реализовано с помощью HTML, CSS, JS, Node.js, Python
 Особенности проекта:
 Наличие полной теории, тестов по каждой главе и полных экзаменационных билетов.
 Адаптивность под большой круг устройств.
 Наличие особенного функционала (мы правда еще думаем над тем, что будем добавлять сюда, конечно у нас уже есть идеи по типу нейросети для определения дорожных знаков, карты города и так далее)","Анализ рынка на пример приложений обучающих пользователя пдд, выявление функционала, необходимого пользователю, создание максимально эффективного и, интересного для пользователя, приложения, обучающего его правилам дорожного движения. Результат – обучающее веб-приложение.","ПДД GO Веб-приложение будет реализовано с помощью HTML, CSS, JS, Node.js, Python
 Особенности проекта:
 Наличие полной теории, тестов по каждой главе и полных экзаменационных билетов.
 Адаптивность под большой круг устройств.
 Наличие особенного функционала (мы правда еще думаем над тем, что будем добавлять сюда, конечно у нас уже есть идеи по типу нейросети для определения дорожных знаков, карты города и так далее) Анализ рынка на пример приложений обучающих пользователя пдд, выявление функционала, необходимого пользователю, создание максимально эффективного и, интересного для пользователя, приложения, обучающего его правилам дорожного движения. Результат – обучающее веб-приложение."
85,Модернизация сайта ИнФО,"Проект планируется на 2 семестра. Первый семестр займет аналитика и поиск источников информации, формирование структуры сайта, создание макетов, а также формирование технического задания для второго семестра.
 2 семестр займет работа по модернизации сайта.","Усовершенствовать сайт ИнФО: путем проведения аналитики конкурентов и предпочтений целевой аудитории сформировать информативный контент; добавить новые функции; модернизовать дизайн. Анализ по выявлению уникальных источников полезного контента.
 Макеты представления информации на сайте. 
 Структура сайта.
 Техническое задание на доработку.","Модернизация сайта ИнФО Проект планируется на 2 семестра. Первый семестр займет аналитика и поиск источников информации, формирование структуры сайта, создание макетов, а также формирование технического задания для второго семестра.
 2 семестр займет работа по модернизации сайта. Усовершенствовать сайт ИнФО: путем проведения аналитики конкурентов и предпочтений целевой аудитории сформировать информативный контент; добавить новые функции; модернизовать дизайн. Анализ по выявлению уникальных источников полезного контента.
 Макеты представления информации на сайте. 
 Структура сайта.
 Техническое задание на доработку."
86,Динамическая модель компетенции,Предпочтительно реализовать сервис в формате веб.,"Создание сервиса по выявлению компетенций по профессиям специалистов на основании анализа заявок вакансий Сервис позволяющий собирать, обрабатывать вакансии с порталов вакансий и выявлять набор компетенций для выбранной профессии","Динамическая модель компетенции Предпочтительно реализовать сервис в формате веб. Создание сервиса по выявлению компетенций по профессиям специалистов на основании анализа заявок вакансий Сервис позволяющий собирать, обрабатывать вакансии с порталов вакансий и выявлять набор компетенций для выбранной профессии"
87,Модернизация сайта ИРИТ-РТФ,"Проект планируется на 2 семестра. Первый семестр займет аналитика и поиск источников информации, формирование структуры сайта, создание макетов, а также формирование технического задания для второго семестра.
 2 семестр займет работа по модернизации сайта.","Усовершенствовать сайт ИРИТ-РТФ: путем проведения аналитики конкурентов и предпочтений целевой аудитории сформировать информативный контент; добавить новые функции; модернизовать дизайн. Анализ по выявлению уникальных источников полезного контента.
 Макеты представления информации на сайте. 
 Структура сайта.
 Техническое задание на доработку.","Модернизация сайта ИРИТ-РТФ Проект планируется на 2 семестра. Первый семестр займет аналитика и поиск источников информации, формирование структуры сайта, создание макетов, а также формирование технического задания для второго семестра.
 2 семестр займет работа по модернизации сайта. Усовершенствовать сайт ИРИТ-РТФ: путем проведения аналитики конкурентов и предпочтений целевой аудитории сформировать информативный контент; добавить новые функции; модернизовать дизайн. Анализ по выявлению уникальных источников полезного контента.
 Макеты представления информации на сайте. 
 Структура сайта.
 Техническое задание на доработку."
88,Coding Learn,Игроку необходимо проходить игровые уровни с написанием кода для управления персонажем и взаимодействием с окружающим игровым миром.,"Создание MVP-версии приложения, обучающего основным командам языка программирования во время игрового процесса, прохождения уровней. Образовательная игра, которое обучает игроков программированию во время игрового процесса.","Coding Learn Игроку необходимо проходить игровые уровни с написанием кода для управления персонажем и взаимодействием с окружающим игровым миром. Создание MVP-версии приложения, обучающего основным командам языка программирования во время игрового процесса, прохождения уровней. Образовательная игра, которое обучает игроков программированию во время игрового процесса."
89,Мобильная игра для обучения устному счету детей младшего школьного возраста «Pirates Counts»,"Приложение написано на с# , Unity.","Создать приложение для тренировки устного счета у детей младшего школьного возраста (1-4 класс). Приложения с готовой 1 картой, уровень сложности на картах различается, тестовая система для определения уровня пользователя.","Мобильная игра для обучения устному счету детей младшего школьного возраста «Pirates Counts» Приложение написано на с# , Unity. Создать приложение для тренировки устного счета у детей младшего школьного возраста (1-4 класс). Приложения с готовой 1 картой, уровень сложности на картах различается, тестовая система для определения уровня пользователя."
90,Тренажер-симулятор компьютерных сетей,Приложение под средой .NET.,Создание веб-сервиса моделирования и тестирования работы компьютерных сетей. Веб-сервис позволяющий моделировать работу компьютерных сетей. Сервис должен обладать возможностью создавать тестовые задания по проверке знаний работоспособности сетей. Сервис создается для сопровождения курса по компьютерным сетям в качестве платформы для выполнения и проверки практических задач студентов.,Тренажер-симулятор компьютерных сетей Приложение под средой .NET. Создание веб-сервиса моделирования и тестирования работы компьютерных сетей. Веб-сервис позволяющий моделировать работу компьютерных сетей. Сервис должен обладать возможностью создавать тестовые задания по проверке знаний работоспособности сетей. Сервис создается для сопровождения курса по компьютерным сетям в качестве платформы для выполнения и проверки практических задач студентов.
91,Цифровой тьютор,Предпочтительно реализовать сервис в формате веб.,Сервис по формированию набора рекомендаций по выбору курсов для обучения Сервис позволяющий анализировать информацию по прохождению обучения по курсам и их оценки и в зависимости от результатов анализа формировать набор рекомендаций по выбору дальнейших курсов по обучению,Цифровой тьютор Предпочтительно реализовать сервис в формате веб. Сервис по формированию набора рекомендаций по выбору курсов для обучения Сервис позволяющий анализировать информацию по прохождению обучения по курсам и их оценки и в зависимости от результатов анализа формировать набор рекомендаций по выбору дальнейших курсов по обучению
92,SMM ИРИТ-РТФ,Реализация на базе соц. сети ВКонтакте.,Оформление и продвижение групп для индивидуальных образовательных траекторий и абитуриентов ИРИТ-РТФ. Группы ИОТ и Абитуриент ИРИТ-РТФ с разработанным дизайнерским оформлением и приростом числа подписчиков не менее 1000 посетителей.,SMM ИРИТ-РТФ Реализация на базе соц. сети ВКонтакте. Оформление и продвижение групп для индивидуальных образовательных траекторий и абитуриентов ИРИТ-РТФ. Группы ИОТ и Абитуриент ИРИТ-РТФ с разработанным дизайнерским оформлением и приростом числа подписчиков не менее 1000 посетителей.
93,Financial Calculator,"Визуальная новелла, написанная на RenPy. Есть две реализации проекта: веб-приложение и desktop-приложение. В первом случае игра запускается онлайн (из технологий используются html, css, движок RenPy), во втором - игру необходимо скачивать на ПК (из технологий используется только RenPy).
 
 Визуальная новелла, написанная с нуля на Python. Аналогичная поддержка веб-версии и desktop-версии.","Разработка игры (визуальной новеллы), обучающей финансовой грамотности. Игра (визуальная новелла) с разветвленным сюжетом, множеством концовок. Форматы: веб-приложение, desktop-приложение.","Financial Calculator Визуальная новелла, написанная на RenPy. Есть две реализации проекта: веб-приложение и desktop-приложение. В первом случае игра запускается онлайн (из технологий используются html, css, движок RenPy), во втором - игру необходимо скачивать на ПК (из технологий используется только RenPy).
 
 Визуальная новелла, написанная с нуля на Python. Аналогичная поддержка веб-версии и desktop-версии. Разработка игры (визуальной новеллы), обучающей финансовой грамотности. Игра (визуальная новелла) с разветвленным сюжетом, множеством концовок. Форматы: веб-приложение, desktop-приложение."
94,Автоматизация формирования электронной визитки для ФЛ,"Необходимо реализовать возможность формировать визитную карточку физического лица (номер телефона, ФИО, учетная запись из VK, instagram, facebook) и возможность передавать ее на другие мобильные устройства, например, через QR-код (возможно будет предложен и реализован другой удобный способ) с последующим их сохранением в карточке контакта. Необходимо предусмотреть возможность выбирать данные, которые передаются в сформированной карточке, например, передается только учетная запись в facebook и ФИО. При сохранении должна быть соблюдена корректность сохранения данных, т.е. в Фамилии - должна сохраняться Фамилия, в Имени - имя, и т.д. ) возможность передачи должна быть реализована между iOS-iOS, android-android, iOS-android.","минимизация расходов времени на обмен контактами и учетными записями в разных системах реализованная возможность передавать и сохранять визитную карточку в мобильном устройстве, передача информации должна осуществляться по защищенному каналу. Время передачи не должно занимать более 2-х секунд.","Автоматизация формирования электронной визитки для ФЛ Необходимо реализовать возможность формировать визитную карточку физического лица (номер телефона, ФИО, учетная запись из VK, instagram, facebook) и возможность передавать ее на другие мобильные устройства, например, через QR-код (возможно будет предложен и реализован другой удобный способ) с последующим их сохранением в карточке контакта. Необходимо предусмотреть возможность выбирать данные, которые передаются в сформированной карточке, например, передается только учетная запись в facebook и ФИО. При сохранении должна быть соблюдена корректность сохранения данных, т.е. в Фамилии - должна сохраняться Фамилия, в Имени - имя, и т.д. ) возможность передачи должна быть реализована между iOS-iOS, android-android, iOS-android. минимизация расходов времени на обмен контактами и учетными записями в разных системах реализованная возможность передавать и сохранять визитную карточку в мобильном устройстве, передача информации должна осуществляться по защищенному каналу. Время передачи не должно занимать более 2-х секунд."
95,Оплата товаров/услуг ФЛ в адрес ЮЛ с использование технологии NFC,"Необходимо реализовать мобильное приложение, используя которое можно без налично рассчитываться с ЮЛ, у которого нет специального терминала. Чек об оплате должен формироваться автоматически и приходить на эл почту, как плательщику, так и получателю, с соблюдением всех норм формирования расчетных документов.","Минимизация расходов на обслуживание терминалов Реализован функционал, который полноценно может заменить платежный терминал. Работающее приложение и сайт с возможной нагрузкой 10000 человек, время отклика системы 1-2 сек.","Оплата товаров/услуг ФЛ в адрес ЮЛ с использование технологии NFC Необходимо реализовать мобильное приложение, используя которое можно без налично рассчитываться с ЮЛ, у которого нет специального терминала. Чек об оплате должен формироваться автоматически и приходить на эл почту, как плательщику, так и получателю, с соблюдением всех норм формирования расчетных документов. Минимизация расходов на обслуживание терминалов Реализован функционал, который полноценно может заменить платежный терминал. Работающее приложение и сайт с возможной нагрузкой 10000 человек, время отклика системы 1-2 сек."
96,Управление устройством с использованием когнитивных технологий,"Необходимо реализовать возможность запуска определенных функций мобильных телефонов, анализируя мимику владельца смартфона.","Управление смартфоном без рук (лицом, мимикой, движением головы, морганием глаза и т.п.) запуск определенных функций смартфона на основании мимики его владельца, время отклика системы 1 сек. При изменении мимики владельца смартфон выполняет запуск определенных команд.","Управление устройством с использованием когнитивных технологий Необходимо реализовать возможность запуска определенных функций мобильных телефонов, анализируя мимику владельца смартфона. Управление смартфоном без рук (лицом, мимикой, движением головы, морганием глаза и т.п.) запуск определенных функций смартфона на основании мимики его владельца, время отклика системы 1 сек. При изменении мимики владельца смартфон выполняет запуск определенных команд."
97,Приложение по электронным пропускам,"Необходимо реализовать приложение, в котором будут храниться все электронные пропуска и также возможность их предъявления, считывания и валидации СКУД (можно сделать c использованием (NFC)",Избавиться от использования магнитных пластиковых пропусков для прохождения через турникет на вход и выход Исключены пластиковые пропуска и СКУД работает с использованием смартфона.,"Приложение по электронным пропускам Необходимо реализовать приложение, в котором будут храниться все электронные пропуска и также возможность их предъявления, считывания и валидации СКУД (можно сделать c использованием (NFC) Избавиться от использования магнитных пластиковых пропусков для прохождения через турникет на вход и выход Исключены пластиковые пропуска и СКУД работает с использованием смартфона."
98,"Online площадка для online связи, собраний, встреч.",Необходимо реализовать возможность общения различных групп людей на одной online площадке с возможностью голоса и текста.,"Создать приложение, в котором можно транслировать контент, создавать голосовые и текстовые чаты, проводить опросы, подводить итоги Online площадка, приложение для общения с возможностью транслировать контент, создавать голосовые и текстовые чаты, проводить опросы, подводить итоги","Online площадка для online связи, собраний, встреч. Необходимо реализовать возможность общения различных групп людей на одной online площадке с возможностью голоса и текста. Создать приложение, в котором можно транслировать контент, создавать голосовые и текстовые чаты, проводить опросы, подводить итоги Online площадка, приложение для общения с возможностью транслировать контент, создавать голосовые и текстовые чаты, проводить опросы, подводить итоги"
99,Виртуальная ЭЦП,"Чтобы подписать пакет документов при наличии договорных отношений между людьми, им необходимо лично приехать и поставить подпись. Необходимо реализовать сервис, который исключит данную необходимость","Создать ЭЦП, которой можно удаленно подписывать документы Исключена необходимость собственноручной подписи","Виртуальная ЭЦП Чтобы подписать пакет документов при наличии договорных отношений между людьми, им необходимо лично приехать и поставить подпись. Необходимо реализовать сервис, который исключит данную необходимость Создать ЭЦП, которой можно удаленно подписывать документы Исключена необходимость собственноручной подписи"
100,Автоматизация раздачи прав пользователям,При трудоустройстве нового сотрудника в разных системах необходимо оформить различные заявки на права доступа.,"Исключить необходимость ручной раздачи/удаления прав доступа Автоматические раздавать/убирать доступ для сотрудников при приеме на работу, нахождении в отпуске, увольнении","Автоматизация раздачи прав пользователям При трудоустройстве нового сотрудника в разных системах необходимо оформить различные заявки на права доступа. Исключить необходимость ручной раздачи/удаления прав доступа Автоматические раздавать/убирать доступ для сотрудников при приеме на работу, нахождении в отпуске, увольнении"
101,Инструмент разметки данных для формирования обучающей выборки для системы компьютерного зрения,"наличие графического интерфейса;
 работа с видеопотоком;
 использование готового и/или обучение собственного детектора объектов;
 обработка цифровых изображений;
 анализ тепловых сигнатур объектов;","Создание инструмента для разметки данных обучающей выборки для системы распознавания лиц Инструмент должен выполнять следующие операции с цифровыми изображениями:
 отзеркаливание по вертикали и по горизонтали;
 поворот изображения по часовой и против часовой стрелки;
 смещение по горизонтали и по вертикали;
 изменение масштаба пропорциональное и не пропорциональное, с возможностью указания, как коэффициента масштабирования, так и конкретной высоты и/или ширины изображения в пикселах;
 возможность выделения на изображении произвольной прямоугольной области
 функция сохранения произведённых изменений в виде проекта, а также сохранение текущей позиции, для последующего продолжения работы с того места, на котором остановился (набор файлов и папок определённой структуры)","Инструмент разметки данных для формирования обучающей выборки для системы компьютерного зрения наличие графического интерфейса;
 работа с видеопотоком;
 использование готового и/или обучение собственного детектора объектов;
 обработка цифровых изображений;
 анализ тепловых сигнатур объектов; Создание инструмента для разметки данных обучающей выборки для системы распознавания лиц Инструмент должен выполнять следующие операции с цифровыми изображениями:
 отзеркаливание по вертикали и по горизонтали;
 поворот изображения по часовой и против часовой стрелки;
 смещение по горизонтали и по вертикали;
 изменение масштаба пропорциональное и не пропорциональное, с возможностью указания, как коэффициента масштабирования, так и конкретной высоты и/или ширины изображения в пикселах;
 возможность выделения на изображении произвольной прямоугольной области
 функция сохранения произведённых изменений в виде проекта, а также сохранение текущей позиции, для последующего продолжения работы с того места, на котором остановился (набор файлов и папок определённой структуры)"
